"Variable","Year","Value","source"
"CN-US collab/US",2011,0.04,"Figure1-c"
"CN-US collab/US",2012,0.05,"Figure1-c"
"CN-US collab/US",2013,0.06,"Figure1-c"
"CN-US collab/US",2014,0.08,"Figure1-c"
"CN-US collab/US",2015,0.09,"Figure1-c"
"CN-US collab/US",2016,0.11,"Figure1-c"
"CN-US collab/US",2017,0.12,"Figure1-c"
"CN-US collab/US",2018,0.13,"Figure1-c"
"CN-US collab/US",2019,0.15,"Figure1-c"
"CN-US collab/US",2020,0.14,"Figure1-c"
"CN-US collab/US",2021,0.14,"Figure1-c"
"CN-US collab/US",2022,0.18,"Figure1-c"
"US",1996,2.57,"Figure1-d"
"US",1997,3.2,"Figure1-d"
"US",1998,3.27,"Figure1-d"
"US",1999,3.59,"Figure1-d"
"US",2000,2.93,"Figure1-d"
"US",2001,-0.04,"Figure1-d"
"US",2002,0.76,"Figure1-d"
"US",2003,1.92,"Figure1-d"
"US",2004,2.89,"Figure1-d"
"US",2005,2.53,"Figure1-d"
"US",2006,1.8,"Figure1-d"
"US",2007,1.04,"Figure1-d"
"US",2008,-0.83,"Figure1-d"
"US",2009,-3.43,"Figure1-d"
"US",2010,1.85,"Figure1-d"
"US",2011,0.83,"Figure1-d"
"US",2012,1.54,"Figure1-d"
"US",2013,1.41,"Figure1-d"
"US",2014,1.77,"Figure1-d"
"US",2015,2.19,"Figure1-d"
"US",2016,1.08,"Figure1-d"
"US",2017,1.81,"Figure1-d"
"US",2018,2.43,"Figure1-d"
"US",2019,2,"Figure1-d"
"US",2020,-3.16,"Figure1-d"
"US",2021,5.63,"Figure1-d"
"US",2022,1.56,"Figure1-d"
"US",2023,2.04,"Figure1-d"
"CN",1996,8.78,"Figure1-d"
"CN",1997,8.12,"Figure1-d"
"CN",1998,6.82,"Figure1-d"
"CN",1999,6.73,"Figure1-d"
"CN",2000,7.64,"Figure1-d"
"CN",2001,7.55,"Figure1-d"
"CN",2002,8.4,"Figure1-d"
"CN",2003,9.35,"Figure1-d"
"CN",2004,9.46,"Figure1-d"
"CN",2005,10.74,"Figure1-d"
"CN",2006,12.09,"Figure1-d"
"CN",2007,13.64,"Figure1-d"
"CN",2008,9.09,"Figure1-d"
"CN",2009,8.86,"Figure1-d"
"CN",2010,10.1,"Figure1-d"
"CN",2011,8.95,"Figure1-d"
"CN",2012,7.13,"Figure1-d"
"CN",2013,7.05,"Figure1-d"
"CN",2014,6.75,"Figure1-d"
"CN",2015,6.42,"Figure1-d"
"CN",2016,6.24,"Figure1-d"
"CN",2017,6.3,"Figure1-d"
"CN",2018,6.25,"Figure1-d"
"CN",2019,5.58,"Figure1-d"
"CN",2020,2,"Figure1-d"
"CN",2021,8.35,"Figure1-d"
"CN",2022,3,"Figure1-d"
"CN",2023,5.31,"Figure1-d"
"China",1996,545374.8589,"Figure1-e"
"China",1997,587214.3732,"Figure1-e"
"China",1998,485312.1012,"Figure1-e"
"China",1999,531727.6296,"Figure1-e"
"China",2000,696736.6664,"Figure1-e"
"China",2001,744635.8043,"Figure1-e"
"China",2002,812752.2651,"Figure1-e"
"China",2003,864415.2719,"Figure1-e"
"China",2004,928608.7055,"Figure1-e"
"China",2005,1121168.087,"Figure1-e"
"China",2006,1225712.879,"Figure1-e"
"China",2007,1424071.75,"Figure1-e"
"China",2008,1591067.99,"Figure1-e"
"China",2009,1149467.119,"Figure1-e"
"China",2010,1205440.724,"Figure1-e"
"China",2011,1310631.527,"Figure1-e"
"China",2012,1396472.731,"Figure1-e"
"China",2013,1474977.421,"Figure1-e"
"China",2014,1514647.483,"Figure1-e"
"China",2015,1607454.533,"Figure1-e"
"China",2016,1680254.376,"Figure1-e"
"China",2017,1728153.867,"Figure1-e"
"China",2018,1850739.762,"Figure1-e"
"China",2019,2091652.163,"Figure1-e"
"China",2020,2260472.302,"Figure1-e"
"China",2021,2382731.489,"Figure1-e"
"US",1996,849259.1261,"Figure1-e"
"US",1997,887579.8129,"Figure1-e"
"US",1998,943636.6624,"Figure1-e"
"US",1999,970373.59,"Figure1-e"
"US",2000,981631.937,"Figure1-e"
"US",2001,1001924.408,"Figure1-e"
"US",2002,1024435.408,"Figure1-e"
"US",2003,1091884.809,"Figure1-e"
"US",2004,1061227.266,"Figure1-e"
"US",2005,1048458.479,"Figure1-e"
"US",2006,1069865.942,"Figure1-e"
"US",2007,1064596.609,"Figure1-e"
"US",2008,1113417.413,"Figure1-e"
"US",2009,1161325.04,"Figure1-e"
"US",2010,1097887.367,"Figure1-e"
"US",2011,1141575.389,"Figure1-e"
"US",2012,1145634.232,"Figure1-e"
"US",2013,1180729.358,"Figure1-e"
"US",2014,1221520.399,"Figure1-e"
"US",2015,1242795.163,"Figure1-e"
"US",2016,1237514.29,"Figure1-e"
"US",2017,1287016.74,"Figure1-e"
"US",2018,1392980.893,"Figure1-e"
"US",2019,1414732.406,"Figure1-e"
"US",2020,1475885.384,"Figure1-e"
"US",2021,NA,"Figure1-e"
"GE",1996,NA,"Figure1-a_b"
"GE",1997,NA,"Figure1-a_b"
"GE",1998,NA,"Figure1-a_b"
"GE",1999,NA,"Figure1-a_b"
"GE",2000,0.00244684234994739,"Figure1-a_b"
"GE",2001,NA,"Figure1-a_b"
"GE",2002,0.00376435159043855,"Figure1-a_b"
"GE",2003,NA,"Figure1-a_b"
"GE",2004,NA,"Figure1-a_b"
"GE",2005,0.0235336712527154,"Figure1-a_b"
"GE",2006,NA,"Figure1-a_b"
"GE",2007,0.00467761018096091,"Figure1-a_b"
"GE",2008,0.00585445816989638,"Figure1-a_b"
"GE",2009,0.0454244729092519,"Figure1-a_b"
"GE",2010,0.00290527992018725,"Figure1-a_b"
"GE",2011,0.00228227999771772,"Figure1-a_b"
"GE",2012,NA,"Figure1-a_b"
"GE",2013,NA,"Figure1-a_b"
"GE",2014,NA,"Figure1-a_b"
"GE",2015,NA,"Figure1-a_b"
"GE",2016,0.00025404438663523,"Figure1-a_b"
"GE",2017,0.0166830352846061,"Figure1-a_b"
"GE",2018,0.00699665831244779,"Figure1-a_b"
"GE",2019,0.0101278638814016,"Figure1-a_b"
"GE",2020,0.00215387266304816,"Figure1-a_b"
"GE",2021,NA,"Figure1-a_b"
"GE",2022,NA,"Figure1-a_b"
"AZ",1996,0.01469076815389,"Figure1-a_b"
"AZ",1997,NA,"Figure1-a_b"
"AZ",1998,NA,"Figure1-a_b"
"AZ",1999,NA,"Figure1-a_b"
"AZ",2000,NA,"Figure1-a_b"
"AZ",2001,0.0125580060278429,"Figure1-a_b"
"AZ",2002,NA,"Figure1-a_b"
"AZ",2003,0.0112892300745089,"Figure1-a_b"
"AZ",2004,0.0108949769616633,"Figure1-a_b"
"AZ",2005,0.00905141202027516,"Figure1-a_b"
"AZ",2006,0.00062503062653132,"Figure1-a_b"
"AZ",2007,0.0184332147300867,"Figure1-a_b"
"AZ",2008,NA,"Figure1-a_b"
"AZ",2009,0.00541995627901935,"Figure1-a_b"
"AZ",2010,0.00463656421472699,"Figure1-a_b"
"AZ",2011,0.00674721847125278,"Figure1-a_b"
"AZ",2012,0.0204061584770583,"Figure1-a_b"
"AZ",2013,0.00405335892514395,"Figure1-a_b"
"AZ",2014,0.0009210927270563,"Figure1-a_b"
"AZ",2015,NA,"Figure1-a_b"
"AZ",2016,0.00497201447036826,"Figure1-a_b"
"AZ",2017,0.0102389843885349,"Figure1-a_b"
"AZ",2018,0.0231846282372598,"Figure1-a_b"
"AZ",2019,0.0121668210916442,"Figure1-a_b"
"AZ",2020,0.00338466011889377,"Figure1-a_b"
"AZ",2021,NA,"Figure1-a_b"
"AZ",2022,0.00650708865083819,"Figure1-a_b"
"TW",1996,1.28245923314235,"Figure1-a_b"
"TW",1997,1.59237765477555,"Figure1-a_b"
"TW",1998,1.41955658423681,"Figure1-a_b"
"TW",1999,1.58651278791139,"Figure1-a_b"
"TW",2000,0.773383248917272,"Figure1-a_b"
"TW",2001,1.13122757498924,"Figure1-a_b"
"TW",2002,1.04275362318841,"Figure1-a_b"
"TW",2003,1.05058026642583,"Figure1-a_b"
"TW",2004,1.43417618085662,"Figure1-a_b"
"TW",2005,1.31392559739319,"Figure1-a_b"
"TW",2006,1.43121062303115,"Figure1-a_b"
"TW",2007,1.36363100565366,"Figure1-a_b"
"TW",2008,1.61103955662237,"Figure1-a_b"
"TW",2009,1.54820689779769,"Figure1-a_b"
"TW",2010,1.47307087218449,"Figure1-a_b"
"TW",2011,1.71027786758972,"Figure1-a_b"
"TW",2012,1.35936584770583,"Figure1-a_b"
"TW",2013,1.27313527497288,"Figure1-a_b"
"TW",2014,1.03971806077508,"Figure1-a_b"
"TW",2015,1.00861114250198,"Figure1-a_b"
"TW",2016,0.986799853670433,"Figure1-a_b"
"TW",2017,1.01773277637683,"Figure1-a_b"
"TW",2018,0.787852965747703,"Figure1-a_b"
"TW",2019,0.852261623989218,"Figure1-a_b"
"TW",2020,0.605197294735935,"Figure1-a_b"
"TW",2021,0.72255867110236,"Figure1-a_b"
"TW",2022,0.642710036358313,"Figure1-a_b"
"XK",1996,NA,"Figure1-a_b"
"XK",1997,NA,"Figure1-a_b"
"XK",1998,NA,"Figure1-a_b"
"XK",1999,NA,"Figure1-a_b"
"XK",2000,NA,"Figure1-a_b"
"XK",2001,NA,"Figure1-a_b"
"XK",2002,NA,"Figure1-a_b"
"XK",2003,NA,"Figure1-a_b"
"XK",2004,NA,"Figure1-a_b"
"XK",2005,NA,"Figure1-a_b"
"XK",2006,NA,"Figure1-a_b"
"XK",2007,NA,"Figure1-a_b"
"XK",2008,NA,"Figure1-a_b"
"XK",2009,NA,"Figure1-a_b"
"XK",2010,NA,"Figure1-a_b"
"XK",2011,NA,"Figure1-a_b"
"XK",2012,0.00929757159127888,"Figure1-a_b"
"XK",2013,NA,"Figure1-a_b"
"XK",2014,0.00051014335028142,"Figure1-a_b"
"XK",2015,NA,"Figure1-a_b"
"XK",2016,NA,"Figure1-a_b"
"XK",2017,NA,"Figure1-a_b"
"XK",2018,NA,"Figure1-a_b"
"XK",2019,0.00035096655997304,"Figure1-a_b"
"XK",2020,0.00071795683639183,"Figure1-a_b"
"XK",2021,NA,"Figure1-a_b"
"XK",2022,NA,"Figure1-a_b"
"CU",1996,0.0224682290721489,"Figure1-a_b"
"CU",1997,0.00914388822511034,"Figure1-a_b"
"CU",1998,0.0138059934218541,"Figure1-a_b"
"CU",1999,NA,"Figure1-a_b"
"CU",2000,0.00550539528738163,"Figure1-a_b"
"CU",2001,0.0047840022963211,"Figure1-a_b"
"CU",2002,NA,"Figure1-a_b"
"CU",2003,0.0436893203883495,"Figure1-a_b"
"CU",2004,0.0226978686701319,"Figure1-a_b"
"CU",2005,0.0113789147356988,"Figure1-a_b"
"CU",2006,0.00072920239761988,"Figure1-a_b"
"CU",2007,0.0333980921612713,"Figure1-a_b"
"CU",2008,0.0158070370587202,"Figure1-a_b"
"CU",2009,0.0221616592292822,"Figure1-a_b"
"CU",2010,0.00703478377652431,"Figure1-a_b"
"CU",2011,0.00618117499381882,"Figure1-a_b"
"CU",2012,0.0212196957370648,"Figure1-a_b"
"CU",2013,0.00166903112743053,"Figure1-a_b"
"CU",2014,0.00529037359498019,"Figure1-a_b"
"CU",2015,0.0182694843108449,"Figure1-a_b"
"CU",2016,0.00722616047475815,"Figure1-a_b"
"CU",2017,0.012068047508133,"Figure1-a_b"
"CU",2018,0.00995183792815372,"Figure1-a_b"
"CU",2019,0.103384433962264,"Figure1-a_b"
"CU",2020,0.0381138537089687,"Figure1-a_b"
"CU",2021,0.00452621811845113,"Figure1-a_b"
"CU",2022,0.00417783851052927,"Figure1-a_b"
"GH",1996,NA,"Figure1-a_b"
"GH",1997,NA,"Figure1-a_b"
"GH",1998,NA,"Figure1-a_b"
"GH",1999,NA,"Figure1-a_b"
"GH",2000,NA,"Figure1-a_b"
"GH",2001,NA,"Figure1-a_b"
"GH",2002,NA,"Figure1-a_b"
"GH",2003,NA,"Figure1-a_b"
"GH",2004,NA,"Figure1-a_b"
"GH",2005,NA,"Figure1-a_b"
"GH",2006,NA,"Figure1-a_b"
"GH",2007,NA,"Figure1-a_b"
"GH",2008,NA,"Figure1-a_b"
"GH",2009,0.019873173023071,"Figure1-a_b"
"GH",2010,0.0594758451325736,"Figure1-a_b"
"GH",2011,NA,"Figure1-a_b"
"GH",2012,NA,"Figure1-a_b"
"GH",2013,NA,"Figure1-a_b"
"GH",2014,0.00510143350281429,"Figure1-a_b"
"GH",2015,0.00376690398161751,"Figure1-a_b"
"GH",2016,0.00040647101861637,"Figure1-a_b"
"GH",2017,NA,"Figure1-a_b"
"GH",2018,0.00417710944026734,"Figure1-a_b"
"GH",2019,0.00242166442048518,"Figure1-a_b"
"GH",2020,NA,"Figure1-a_b"
"GH",2021,0.00339466358883835,"Figure1-a_b"
"GH",2022,NA,"Figure1-a_b"
"TZ",1996,NA,"Figure1-a_b"
"TZ",1997,0.00406395845017191,"Figure1-a_b"
"TZ",1998,NA,"Figure1-a_b"
"TZ",1999,NA,"Figure1-a_b"
"TZ",2000,NA,"Figure1-a_b"
"TZ",2001,NA,"Figure1-a_b"
"TZ",2002,NA,"Figure1-a_b"
"TZ",2003,NA,"Figure1-a_b"
"TZ",2004,NA,"Figure1-a_b"
"TZ",2005,NA,"Figure1-a_b"
"TZ",2006,NA,"Figure1-a_b"
"TZ",2007,NA,"Figure1-a_b"
"TZ",2008,NA,"Figure1-a_b"
"TZ",2009,NA,"Figure1-a_b"
"TZ",2010,NA,"Figure1-a_b"
"TZ",2011,NA,"Figure1-a_b"
"TZ",2012,NA,"Figure1-a_b"
"TZ",2013,0.00071529833931402,"Figure1-a_b"
"TZ",2014,NA,"Figure1-a_b"
"TZ",2015,0.00926031189964968,"Figure1-a_b"
"TZ",2016,0.00067745102024225,"Figure1-a_b"
"TZ",2017,0.0153997189551291,"Figure1-a_b"
"TZ",2018,0.0121832289055973,"Figure1-a_b"
"TZ",2019,NA,"Figure1-a_b"
"TZ",2020,NA,"Figure1-a_b"
"TZ",2021,NA,"Figure1-a_b"
"TZ",2022,0.0001877043019936,"Figure1-a_b"
"ER",1996,NA,"Figure1-a_b"
"ER",1997,NA,"Figure1-a_b"
"ER",1998,NA,"Figure1-a_b"
"ER",1999,NA,"Figure1-a_b"
"ER",2000,NA,"Figure1-a_b"
"ER",2001,NA,"Figure1-a_b"
"ER",2002,NA,"Figure1-a_b"
"ER",2003,NA,"Figure1-a_b"
"ER",2004,NA,"Figure1-a_b"
"ER",2005,NA,"Figure1-a_b"
"ER",2006,NA,"Figure1-a_b"
"ER",2007,NA,"Figure1-a_b"
"ER",2008,NA,"Figure1-a_b"
"ER",2009,0.00090332604650322,"Figure1-a_b"
"ER",2010,NA,"Figure1-a_b"
"ER",2011,NA,"Figure1-a_b"
"ER",2012,NA,"Figure1-a_b"
"ER",2013,NA,"Figure1-a_b"
"ER",2014,NA,"Figure1-a_b"
"ER",2015,NA,"Figure1-a_b"
"ER",2016,NA,"Figure1-a_b"
"ER",2017,NA,"Figure1-a_b"
"ER",2018,NA,"Figure1-a_b"
"ER",2019,NA,"Figure1-a_b"
"ER",2020,NA,"Figure1-a_b"
"ER",2021,NA,"Figure1-a_b"
"ER",2022,NA,"Figure1-a_b"
"CY",1996,NA,"Figure1-a_b"
"CY",1997,NA,"Figure1-a_b"
"CY",1998,NA,"Figure1-a_b"
"CY",1999,NA,"Figure1-a_b"
"CY",2000,0.00081561330103501,"Figure1-a_b"
"CY",2001,0.00257140123427259,"Figure1-a_b"
"CY",2002,0.00235271974402409,"Figure1-a_b"
"CY",2003,0.0451569202980357,"Figure1-a_b"
"CY",2004,0.0158885080690923,"Figure1-a_b"
"CY",2005,0.0203656770456191,"Figure1-a_b"
"CY",2006,0.00125006344067203,"Figure1-a_b"
"CY",2007,0.00191002161053022,"Figure1-a_b"
"CY",2008,0.0695378881017895,"Figure1-a_b"
"CY",2009,0.0068968220989684,"Figure1-a_b"
"CY",2010,0.00955550439353824,"Figure1-a_b"
"CY",2011,0.00661136575438864,"Figure1-a_b"
"CY",2012,0.0350349821021803,"Figure1-a_b"
"CY",2013,0.0375949261453726,"Figure1-a_b"
"CY",2014,0.0146322036492254,"Figure1-a_b"
"CY",2015,0.0296509963461031,"Figure1-a_b"
"CY",2016,0.0379857328672466,"Figure1-a_b"
"CY",2017,0.0133143467631716,"Figure1-a_b"
"CY",2018,0.0610173350041771,"Figure1-a_b"
"CY",2019,0.0127400606469003,"Figure1-a_b"
"CY",2020,0.00863715861118291,"Figure1-a_b"
"CY",2021,0.0164524407631204,"Figure1-a_b"
"CY",2022,0.0470171542910129,"Figure1-a_b"
"ID",1996,0.00094272159282399,"Figure1-a_b"
"ID",1997,NA,"Figure1-a_b"
"ID",1998,NA,"Figure1-a_b"
"ID",1999,NA,"Figure1-a_b"
"ID",2000,0.0149257383346791,"Figure1-a_b"
"ID",2001,NA,"Figure1-a_b"
"ID",2002,0.00548967156032373,"Figure1-a_b"
"ID",2003,NA,"Figure1-a_b"
"ID",2004,0.00329119095716912,"Figure1-a_b"
"ID",2005,0.0293792994207096,"Figure1-a_b"
"ID",2006,0.0122506125306265,"Figure1-a_b"
"ID",2007,NA,"Figure1-a_b"
"ID",2008,0.00333766563237906,"Figure1-a_b"
"ID",2009,0.00765677223537064,"Figure1-a_b"
"ID",2010,0.016116035455278,"Figure1-a_b"
"ID",2011,0.0038037999961962,"Figure1-a_b"
"ID",2012,0.00538968434754312,"Figure1-a_b"
"ID",2013,0.0003338062254861,"Figure1-a_b"
"ID",2014,0.00170047783427143,"Figure1-a_b"
"ID",2015,NA,"Figure1-a_b"
"ID",2016,0.00508088773270466,"Figure1-a_b"
"ID",2017,0.0113435484802402,"Figure1-a_b"
"ID",2018,0.00116030910609858,"Figure1-a_b"
"ID",2019,0.00842318059299192,"Figure1-a_b"
"ID",2020,0.00796932885327819,"Figure1-a_b"
"ID",2021,0.00932185937040306,"Figure1-a_b"
"ID",2022,0.0163926209706937,"Figure1-a_b"
"CZ",1996,0.305586809426283,"Figure1-a_b"
"CZ",1997,0.134282509570603,"Figure1-a_b"
"CZ",1998,0.144504568156901,"Figure1-a_b"
"CZ",1999,0.286236490781945,"Figure1-a_b"
"CZ",2000,0.942433140032788,"Figure1-a_b"
"CZ",2001,0.304422810122949,"Figure1-a_b"
"CZ",2002,0.32404714850367,"Figure1-a_b"
"CZ",2003,0.962684578911718,"Figure1-a_b"
"CZ",2004,0.555425925505595,"Figure1-a_b"
"CZ",2005,0.264984612599566,"Figure1-a_b"
"CZ",2006,0.558916695834792,"Figure1-a_b"
"CZ",2007,0.67997205911244,"Figure1-a_b"
"CZ",2008,0.574201354331323,"Figure1-a_b"
"CZ",2009,0.763306895991039,"Figure1-a_b"
"CZ",2010,0.844345957561107,"Figure1-a_b"
"CZ",2011,0.951096445348904,"Figure1-a_b"
"CZ",2012,1.44024365440937,"Figure1-a_b"
"CZ",2013,1.19946591003922,"Figure1-a_b"
"CZ",2014,2.00409815158059,"Figure1-a_b"
"CZ",2015,1.62550005650356,"Figure1-a_b"
"CZ",2016,1.61116575888139,"Figure1-a_b"
"CZ",2017,1.27898130859112,"Figure1-a_b"
"CZ",2018,1.24862364243943,"Figure1-a_b"
"CZ",2019,1.17783650606469,"Figure1-a_b"
"CZ",2020,1.12793357456707,"Figure1-a_b"
"CZ",2021,1.4187657003191,"Figure1-a_b"
"CZ",2022,0.900292818623264,"Figure1-a_b"
"IE",1996,0.26413035024499,"Figure1-a_b"
"IE",1997,0.163301065567775,"Figure1-a_b"
"IE",1998,0.153449384821537,"Figure1-a_b"
"IE",1999,0.425311751185877,"Figure1-a_b"
"IE",2000,0.372940370451932,"Figure1-a_b"
"IE",2001,0.285937425249964,"Figure1-a_b"
"IE",2002,0.438765763222285,"Figure1-a_b"
"IE",2003,0.28241815308196,"Figure1-a_b"
"IE",2004,0.511335315613864,"Figure1-a_b"
"IE",2005,0.543874456915279,"Figure1-a_b"
"IE",2006,0.323306790339517,"Figure1-a_b"
"IE",2007,0.2538167688983,"Figure1-a_b"
"IE",2008,0.390125480553442,"Figure1-a_b"
"IE",2009,0.429654387454608,"Figure1-a_b"
"IE",2010,0.622270826138675,"Figure1-a_b"
"IE",2011,0.721997375378003,"Figure1-a_b"
"IE",2012,0.458159778717865,"Figure1-a_b"
"IE",2013,0.598197446382375,"Figure1-a_b"
"IE",2014,0.451129967520873,"Figure1-a_b"
"IE",2015,0.343240290804987,"Figure1-a_b"
"IE",2016,0.382873343630599,"Figure1-a_b"
"IE",2017,0.37486573370036,"Figure1-a_b"
"IE",2018,0.402422723475355,"Figure1-a_b"
"IE",2019,0.358789588948787,"Figure1-a_b"
"IE",2020,0.297467045748255,"Figure1-a_b"
"IE",2021,0.286172403648132,"Figure1-a_b"
"IE",2022,0.356828774310046,"Figure1-a_b"
"ES",1996,4.38493246571436,"Figure1-a_b"
"ES",1997,4.96486308551364,"Figure1-a_b"
"ES",1998,4.99013278109392,"Figure1-a_b"
"ES",1999,4.32788889432246,"Figure1-a_b"
"ES",2000,5.66321661895324,"Figure1-a_b"
"ES",2001,5.59426876524901,"Figure1-a_b"
"ES",2002,6.43214756258235,"Figure1-a_b"
"ES",2003,6.59464890494468,"Figure1-a_b"
"ES",2004,5.8925482897156,"Figure1-a_b"
"ES",2005,5.9836169442433,"Figure1-a_b"
"ES",2006,6.78843629681484,"Figure1-a_b"
"ES",2007,7.54644081115889,"Figure1-a_b"
"ES",2008,6.46788829693812,"Figure1-a_b"
"ES",2009,5.9626203681957,"Figure1-a_b"
"ES",2010,6.36289858409117,"Figure1-a_b"
"ES",2011,6.02268966697731,"Figure1-a_b"
"ES",2012,6.03864301985031,"Figure1-a_b"
"ES",2013,6.07772677960444,"Figure1-a_b"
"ES",2014,5.60293842569762,"Figure1-a_b"
"ES",2015,5.07673183410555,"Figure1-a_b"
"ES",2016,4.98920819445574,"Figure1-a_b"
"ES",2017,4.44349265625902,"Figure1-a_b"
"ES",2018,4.41457811194653,"Figure1-a_b"
"ES",2019,4.18893194070081,"Figure1-a_b"
"ES",2020,3.84358576720944,"Figure1-a_b"
"ES",2021,3.39124629415892,"Figure1-a_b"
"ES",2022,3.48551767892438,"Figure1-a_b"
"ET",1996,NA,"Figure1-a_b"
"ET",1997,NA,"Figure1-a_b"
"ET",1998,NA,"Figure1-a_b"
"ET",1999,NA,"Figure1-a_b"
"ET",2000,NA,"Figure1-a_b"
"ET",2001,NA,"Figure1-a_b"
"ET",2002,NA,"Figure1-a_b"
"ET",2003,NA,"Figure1-a_b"
"ET",2004,NA,"Figure1-a_b"
"ET",2005,0.00678855901520637,"Figure1-a_b"
"ET",2006,NA,"Figure1-a_b"
"ET",2007,NA,"Figure1-a_b"
"ET",2008,NA,"Figure1-a_b"
"ET",2009,0.0201139997470687,"Figure1-a_b"
"ET",2010,NA,"Figure1-a_b"
"ET",2011,0.00475474999524525,"Figure1-a_b"
"ET",2012,0.00203384315001627,"Figure1-a_b"
"ET",2013,NA,"Figure1-a_b"
"ET",2014,0.0170047783427143,"Figure1-a_b"
"ET",2015,NA,"Figure1-a_b"
"ET",2016,NA,"Figure1-a_b"
"ET",2017,NA,"Figure1-a_b"
"ET",2018,0.00052213868003341,"Figure1-a_b"
"ET",2019,0.00421159029649596,"Figure1-a_b"
"ET",2020,0.0102308951494788,"Figure1-a_b"
"ET",2021,0.0072670921311698,"Figure1-a_b"
"ET",2022,0.0129560528049584,"Figure1-a_b"
"GN",1996,NA,"Figure1-a_b"
"GN",1997,NA,"Figure1-a_b"
"GN",1998,NA,"Figure1-a_b"
"GN",1999,NA,"Figure1-a_b"
"GN",2000,NA,"Figure1-a_b"
"GN",2001,NA,"Figure1-a_b"
"GN",2002,NA,"Figure1-a_b"
"GN",2003,NA,"Figure1-a_b"
"GN",2004,NA,"Figure1-a_b"
"GN",2005,NA,"Figure1-a_b"
"GN",2006,NA,"Figure1-a_b"
"GN",2007,NA,"Figure1-a_b"
"GN",2008,NA,"Figure1-a_b"
"GN",2009,NA,"Figure1-a_b"
"GN",2010,NA,"Figure1-a_b"
"GN",2011,NA,"Figure1-a_b"
"GN",2012,0.00101692157500814,"Figure1-a_b"
"GN",2013,NA,"Figure1-a_b"
"GN",2014,0.00048585032394102,"Figure1-a_b"
"GN",2015,0.00094172599540437,"Figure1-a_b"
"GN",2016,NA,"Figure1-a_b"
"GN",2017,NA,"Figure1-a_b"
"GN",2018,NA,"Figure1-a_b"
"GN",2019,NA,"Figure1-a_b"
"GN",2020,NA,"Figure1-a_b"
"GN",2021,NA,"Figure1-a_b"
"GN",2022,NA,"Figure1-a_b"
"GP",1996,NA,"Figure1-a_b"
"GP",1997,NA,"Figure1-a_b"
"GP",1998,NA,"Figure1-a_b"
"GP",1999,NA,"Figure1-a_b"
"GP",2000,NA,"Figure1-a_b"
"GP",2001,NA,"Figure1-a_b"
"GP",2002,NA,"Figure1-a_b"
"GP",2003,NA,"Figure1-a_b"
"GP",2004,NA,"Figure1-a_b"
"GP",2005,NA,"Figure1-a_b"
"GP",2006,NA,"Figure1-a_b"
"GP",2007,NA,"Figure1-a_b"
"GP",2008,NA,"Figure1-a_b"
"GP",2009,NA,"Figure1-a_b"
"GP",2010,NA,"Figure1-a_b"
"GP",2011,NA,"Figure1-a_b"
"GP",2012,NA,"Figure1-a_b"
"GP",2013,NA,"Figure1-a_b"
"GP",2014,NA,"Figure1-a_b"
"GP",2015,NA,"Figure1-a_b"
"GP",2016,NA,"Figure1-a_b"
"GP",2017,NA,"Figure1-a_b"
"GP",2018,NA,"Figure1-a_b"
"GP",2019,NA,"Figure1-a_b"
"GP",2020,NA,"Figure1-a_b"
"GP",2021,NA,"Figure1-a_b"
"GP",2022,NA,"Figure1-a_b"
"ZM",1996,NA,"Figure1-a_b"
"ZM",1997,NA,"Figure1-a_b"
"ZM",1998,NA,"Figure1-a_b"
"ZM",1999,NA,"Figure1-a_b"
"ZM",2000,NA,"Figure1-a_b"
"ZM",2001,NA,"Figure1-a_b"
"ZM",2002,NA,"Figure1-a_b"
"ZM",2003,NA,"Figure1-a_b"
"ZM",2004,NA,"Figure1-a_b"
"ZM",2005,NA,"Figure1-a_b"
"ZM",2006,NA,"Figure1-a_b"
"ZM",2007,NA,"Figure1-a_b"
"ZM",2008,NA,"Figure1-a_b"
"ZM",2009,NA,"Figure1-a_b"
"ZM",2010,NA,"Figure1-a_b"
"ZM",2011,NA,"Figure1-a_b"
"ZM",2012,NA,"Figure1-a_b"
"ZM",2013,NA,"Figure1-a_b"
"ZM",2014,NA,"Figure1-a_b"
"ZM",2015,NA,"Figure1-a_b"
"ZM",2016,NA,"Figure1-a_b"
"ZM",2017,NA,"Figure1-a_b"
"ZM",2018,NA,"Figure1-a_b"
"ZM",2019,NA,"Figure1-a_b"
"ZM",2020,NA,"Figure1-a_b"
"ZM",2021,NA,"Figure1-a_b"
"ZM",2022,NA,"Figure1-a_b"
"GR",1996,0.284530630233583,"Figure1-a_b"
"GR",1997,0.250786374387359,"Figure1-a_b"
"GR",1998,0.275707150688269,"Figure1-a_b"
"GR",1999,0.571018142696464,"Figure1-a_b"
"GR",2000,0.235677408304583,"Figure1-a_b"
"GR",2001,0.284026216332584,"Figure1-a_b"
"GR",2002,0.346924995294561,"Figure1-a_b"
"GR",2003,0.176783924136374,"Figure1-a_b"
"GR",2004,0.330378827428105,"Figure1-a_b"
"GR",2005,0.365876176683563,"Figure1-a_b"
"GR",2006,0.431090304515226,"Figure1-a_b"
"GR",2007,0.74196590338565,"Figure1-a_b"
"GR",2008,0.525390785082841,"Figure1-a_b"
"GR",2009,0.259695398457119,"Figure1-a_b"
"GR",2010,0.379141245539312,"Figure1-a_b"
"GR",2011,0.267165598432834,"Figure1-a_b"
